F_vencimiento,P_compra,P_venta,Margen,11-08-2021,18-08-2021,25-08-2021,01-09-2021,08-09-2021,15-09-2021,22-09-2021,29-09-2021,06-10-2021,13-10-2021,20-10-2021,27-10-2021,03-11-2021,10-11-2021,17-11-2021,24-11-2021,01-12-2021,08-12-2021,15-12-2021,22-12-2021,29-12-2021,05-01-2022,target
365,4.50,6.00,1.50,2,1,2,1,1,1,1,1,2,1,1,2,2,0,1,1,0,1,1,1,1,0,1
15,15.00,17.00,2.00,2,2,2,2,1,1,1,1,2,1,2,0,2,0,1,1,1,1,1,1,2,1,1
15,1.30,2.50,1.20,1,1,1,4,1,1,1,1,1,2,1,1,1,2,2,1,2,2,2,1,1,2,1
120,4.50,6.00,1.50,3,1,3,1,2,1,2,1,1,2,2,2,3,3,1,2,1,1,1,2,2,1,2
120,4.50,6.00,1.50,2,2,1,1,3,3,3,3,0,3,1,1,4,1,3,3,2,3,3,3,1,2,3
120,4.50,6.00,1.50,1,1,1,2,1,1,1,1,1,1,0,2,2,2,1,1,0,1,1,1,0,0,1
90,12.00,14.00,2.00,0,0,0,0,1,1,1,1,0,1,0,0,0,0,1,1,0,1,1,1,0,0,1
120,12.00,15.00,3.00,0,0,0,3,1,1,1,1,1,1,2,0,0,0,1,1,1,1,1,1,2,1,1
120,5.00,6.00,1.00,2,1,2,1,1,2,2,2,3,2,2,1,3,3,2,2,2,2,2,2,2,2,2
120,5.00,6.00,1.00,3,3,2,1,2,2,2,2,2,2,1,3,3,3,2,2,2,2,2,2,1,2,2
120,5.00,6.00,1.00,2,2,2,1,1,1,1,1,1,1,0,0,2,0,2,1,1,2,2,1,0,1,1
120,5.00,6.00,1.00,1,2,2,2,2,2,2,2,1,2,2,1,2,2,2,2,1,2,2,2,2,1,2
120,5.00,6.00,1.00,2,1,2,1,1,1,1,1,1,3,0,0,2,0,1,1,2,1,1,1,0,2,1
150,2.00,3.1,1.10,1,1,1,1,0,1,0,1,2,2,0,2,1,2,1,1,2,1,1,1,0,2,1
150,2.00,3.1,1.10,1,5,2,2,3,3,3,3,2,3,3,3,5,2,3,3,4,3,3,3,3,4,3
150,2.00,3.1,1.10,1,2,4,1,2,1,2,1,1,2,1,1,2,2,1,2,4,1,1,2,1,4,2
150,2.00,3.1,1.10,4,2,4,1,3,2,3,2,1,3,2,2,4,2,2,3,4,2,2,3,2,4,3
150,2.00,3.1,1.10,1,2,5,1,6,4,6,4,1,6,4,5,2,1,4,6,2,4,4,6,4,2,6
15,7.00,8.5,1.50,3,1,3,2,4,3,4,3,2,4,2,3,4,4,3,4,6,3,3,4,2,6,4
15,7.00,9,2.00,1,1,1,1,1,1,1,1,3,1,2,1,1,1,1,1,0,1,1,1,2,0,1
15,7.00,9.50,2.50,3,2,1,1,4,3,4,3,2,4,4,2,4,2,3,4,2,3,3,4,4,2,4
15,7.00,8.5,1.50,1,0,1,1,0,1,0,1,2,0,0,2,1,2,1,0,2,1,1,0,0,2,0
15,7.00,8.5,1.50,4,4,4,4,3,3,3,3,3,3,2,3,2,0,3,3,4,3,3,3,2,4,3
15,7.00,9.5,2.50,3,2,3,1,8,2,8,2,0,8,2,4,4,3,3,1,3,3,2,8,3,3,1
15,8.00,10.00,2.00,1,0,1,1,1,1,1,1,0,1,1,2,2,1,1,3,0,1,1,1,0,0,3
15,7.00,8.5,1.50,3,1,2,5,1,5,1,5,6,1,4,5,4,6,3,5,5,3,5,1,2,5,5
15,7.00,8.5,1.50,5,2,7,4,6,4,6,4,4,6,5,5,3,7,3,7,5,3,4,6,3,5,7
15,8.00,10.50,2.50,3,2,4,1,3,3,3,3,4,3,2,6,5,4,1,4,2,1,2,3,1,2,4
15,7.00,8.5,1.50,1,2,2,1,1,2,1,2,3,1,2,1,3,3,2,4,1,2,2,1,1,1,4
15,8.00,10,2.00,8,2,9,3,6,5,3,5,7,6,5,8,4,5,8,4,5,8,3,5,5,5,4
15,8.00,9.5,1.50,5,0,0,0,0,4,0,4,3,0,1,2,2,1,2,1,1,2,4,0,2,1,1
240,8.00,11.00,3.00,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
240,8.00,10.00,2.00,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
240,8.00,11.00,3.00,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
240,8.00,10.00,2.00,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
150,3.50,5.00,1.50,5,1,6,0,3,3,3,3,0,3,2,2,4,0,3,4,2,3,3,3,4,2,4
150,3.50,5.00,1.50,6,1,2,2,3,4,3,4,3,3,2,1,2,2,2,2,2,2,4,3,2,2,2
120,1.20,1.80,0.60,2,2,4,6,6,4,3,4,3,3,4,5,4,2,5,2,5,5,4,3,8,5,2
120,1.20,1.80,0.60,6,5,6,6,4,3,4,3,3,4,3,2,2,2,2,2,2,2,3,4,3,2,2
365,7.00,8.5,1.50,1,2,2,2,1,1,1,1,0,1,1,2,2,0,1,2,1,1,1,1,1,1,2
90,5.00,6.00,1.00,1,1,1,1,2,1,2,1,2,2,1,3,4,0,2,3,1,2,1,2,2,1,3
90,5.00,6.00,1.00,1,1,1,2,1,1,1,1,2,1,1,2,2,1,2,2,1,2,1,1,1,1,2
90,6.00,7.00,1.00,1,2,1,1,1,1,1,1,2,1,1,2,1,1,2,1,1,2,1,1,2,1,1
